%time,field.speed
83272000000,12.44973583
83318000000,12.65464224
83393000000,11.66279806
83450000000,11.68868618
83485000000,11.39868618
83560000000,10.62368618
83595000000,10.237915
83633000000,10.26764031
83687000000,9.801851633
83752000000,9.226851633
83795000000,8.785179728
83821000000,8.94059202
83888000000,9.10059202
83949000000,8.60059202
83993000000,8.15559202
84055000000,7.50559202
84122000000,7.49559202
84187000000,7.70059202
84214000000,7.38559202
84249000000,6.91059202
84315000000,7.37559202
84346000000,6.97559202
84420000000,7.234656045
84455000000,6.609656045
84521000000,6.824656045
84582000000,7.109656045
84654000000,6.509656045
84691000000,6.009656045
84751000000,5.459656045
84793000000,5.238796931
84846000000,5.238796931
84893000000,5.238796931
84961000000,5.238796931
85001000000,5.238796931
85031000000,5.238796931
85084000000,5.353796931
85162000000,5.238796931
85207000000,5.566445653
85241000000,5.604699264
85331000000,5.707207001
85394000000,6.158685332
85461000000,6.558685332
85504000000,6.858685332
85532000000,7.158685332
85595000000,6.783685332
85658000000,7.183685332
85735000000,6.608685332
85763000000,6.908685332
85864000000,7.308685332
85910000000,7.583685332
85942000000,7.883685332
85978000000,8.183685332
86073000000,8.583685332
86105000000,8.883685332
86141000000,9.183685332
86227000000,8.658685332
86252000000,9.058685332
86302000000,9.208685332
86329000000,9.508685332
86390000000,9.058685332
86434000000,9.308685332
86472000000,9.583685332
86563000000,9.983685332
86596000000,10.28368533
86668000000,10.68368533
86712000000,10.98368533
86803000000,10.45868533
86833000000,10.75868533
86892000000,10.40868533
86960000000,10.80868533
86996000000,11.08368533
87057000000,11.48368533
87126000000,10.20327361
87163000000,10.60327361
87205000000,10.76027944
87241000000,11.06027944
87284000000,11.36027944
87360000000,11.76027944
87393000000,11.05122643
87478000000,11.45122643
87529000000,11.75122643
87601000000,11.20122643
87643000000,11.50122643
87689000000,11.77622643
87761000000,12.17622643
87821000000,11.60122643
87902000000,11.38528767
87942000000,11.68528767
87976000000,11.98528767
88064000000,12.38528767
88102000000,12.39611596
88134000000,12.69611596
88197000000,13.09611596
88270000000,13.02179747
88304000000,12.71965694
88342000000,12.9389353
88429000000,12.4139353
88460000000,12.28744358
88533000000,12.47771588
88596000000,12.87771588
88679000000,12.35644567
88714000000,12.28108269
88745000000,12.59586578
88788000000,12.44968106
88863000000,12.32406145
88907000000,11.96811704
88935000000,12.05228771
89027000000,12.09121038
89051000000,11.81397108
