%time,field
1548122260471265077,0.0
1548122260519258022,0.0
1548122260567127943,0.0
1548122260616275072,0.0
1548122260664187908,0.0
1548122260712272882,0.0
1548122260808157920,0.0
1548122260856271982,0.0
1548122260904323101,0.0
1548122260952130079,0.0
1548122261000221967,0.0
1548122261048065900,0.0
1548122261096297979,0.0
1548122261144136905,0.0
1548122261192087888,0.0
1548122261240262031,0.0
1548122261288332939,0.0
1548122261336173057,0.0
1548122261384308099,0.0
1548122261431896924,0.0
1548122261480328083,0.0
1548122261528242111,0.0
1548122261577274084,0.0
1548122261625205039,0.0
1548122261673258066,0.0
1548122261721191883,0.0
1548122261769195079,0.0
1548122261817012071,0.0
1548122261865185022,0.0
1548122261913005113,0.0
1548122261961328029,0.0
1548122262057286977,0.0
1548122262105185985,0.0
1548122262153301954,0.0
1548122262201117992,0.0
1548122262249393939,0.0
1548122262297111988,0.0
1548122262345391988,0.0
1548122262393237113,0.0
1548122262441257953,0.0
1548122262490221977,0.0
1548122262538186073,0.0
1548122262586123943,0.0
1548122262634390115,0.0
1548122262682102918,0.0
1548122262730088949,0.0
1548122262778173923,0.0
1548122262826231956,0.0
1548122262874011039,0.0
1548122262922243118,0.0
1548122262969999074,0.0
1548122263018294095,0.0
1548122263066237926,0.0
1548122263114020109,0.0
1548122263162159919,0.0
1548122263258286952,0.0
1548122263306082010,0.0
1548122263354393005,0.0
1548122263403094053,0.0
1548122263451206922,0.0
1548122263499259948,0.0
1548122263547079086,0.0
1548122263595207929,0.0
1548122263643318891,0.0
1548122263691222906,0.0
1548122263739402055,0.0
1548122263787112951,0.0
1548122263835269927,0.0
1548122263883167028,0.0
1548122263931027889,0.0
1548122263979192018,0.0
1548122264027273893,0.0
1548122264075149059,0.0
1548122264123230934,0.0
1548122264171252965,0.0
1548122264219089031,0.0
1548122264267251968,0.0
1548122264315232038,0.0
1548122264364176034,0.0
1548122264412197113,0.0
1548122264508310079,0.0
1548122264556296110,0.0
1548122264604301929,0.0
1548122264652096033,0.0
1548122264700314998,0.0
1548122264747932910,0.0
1548122264796313047,0.0
1548122264844266891,0.0
1548122264892214059,0.0
1548122264940093994,0.0
1548122264988198995,0.0
1548122265036215066,0.0
1548122265084276914,0.0
1548122265132045984,0.0
1548122265179929018,0.0
1548122265228213071,0.0
1548122265277137041,0.0
1548122265325236082,0.0
1548122265373269081,0.0
1548122265421103000,0.0
1548122265469253063,0.0
1548122265517071962,0.0
1548122265565078020,0.0
1548122265612993955,0.0
1548122265661123991,0.0
1548122265757333993,0.0
1548122265805126905,0.0
1548122265853220939,0.0
1548122265901113033,0.0
1548122265949278116,0.0
1548122265997283935,0.0
1548122266045258998,0.0
1548122266093194961,0.0
1548122266141208887,0.0
1548122266189001083,0.0
1548122266238065004,0.0
1548122266286169052,0.0
1548122266334213972,0.0
1548122266382154941,0.0
1548122266430145978,0.0
1548122266478224992,0.0
1548122266526211023,0.0
1548122266574040889,0.0
1548122266622103929,0.0
1548122266670114040,0.0
1548122266718204975,0.0
1548122266766191959,0.0
1548122266814034938,0.0
1548122266862231969,0.0
1548122266958324909,0.0
1548122267006131887,0.0
1548122267054104089,0.0
1548122267102319002,0.0
1548122267151170969,0.0
1548122267199183940,0.0
1548122267247284889,0.0
1548122267295233964,0.0
1548122267343300104,0.0
1548122267391033887,0.0
1548122267439335107,0.0
1548122267487268924,0.0
1548122267535274982,0.0
1548122267583162069,0.0
1548122267631098031,0.0
1548122267678955078,0.0
1548122267727200031,0.0
1548122267775305986,0.0
1548122267823255062,0.0
1548122267871169090,0.0
1548122267919250011,0.0
